GARHWALI{IE.INDIC|Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Pahari,Garhwali@Indo-European,ClassicalIndo-European,Indo-Iranian,Indo-Aryan,Middle-ModernIndo-Aryan,ContinentalIndo-Aryan,MidlandsIndo-Aryan,Indo-AryanNorthernzone,CentralPahari}
 1   30.50   78.72     2480000         gbm
1 I	mi //
2 you	tu //
3 we	ham //
4 this	yu //
5 that	vu //
6 who	ko //
7 what	kya //
8 not	na //
9 all	sabbi //
10 many	bahut //
11 one	ek //
12 two	dvi //
13 big	baru //
14 long	lambu //
15 small	Th~wattu //
16 woman	janani //
17 man	admi //
18 person	manali, jan //
19 fish	maTh~u //
21 dog	kukur //
22 louse	ju* //
23 tree	dal //
24 seed	bij //
25 leaf	path~ara //
26 root	jar //
27 bark	bakkal //
28 skin	Tamri //
30 blood	loi //
31 bone	had //
33 egg	andru //
34 horn	siN //
35 tail	puTh~aru //
37 hair	bal //
38 head	mund, sir //
39 ear	kan //
40 eye	a*kh~o //
41 nose	nak //
42 mouth	giTTo //
43 tooth	da*t //
44 tongue	jib //
46 foot	kh~uttu //
47 knee	gh~u*du //
48 hand	hat, hath~ //
49 belly	pyat //
50 neck	dh~aun, gala //
52 heart	jikuru //
54 drink	pya //
55 eat	kh~a //
56 bite	kat //
57 see	dekh~ //
58 hear	sun //
59 know	jan //
60 sleep	si //
61 die	mar //
62 kill	mar //
63 swim	tar //
64 fly	ur //
65 walk	ja, ga //
66 come	a //
67 lie	par //
68 sit	baith~ //
69 stand	th~adu ho //
70 give	di //
71 say	bval //
72 sun	gh~am, suraj //
73 moon	jun //
74 star	gainu //
75 water	pani //
76 rain	barkh~a //
77 stone	dhu*gu //
78 sand	balo //
79 earth	dh~arti //
80 cloud	badal //
81 smoke	dh~ua //
82 fire	ag //
83 ash	Th~aru // "ashes"
84 burn	jagau //
85 path	batu // "road"
86 mountain	par //
87 red	lal //
88 green	haryu* //
89 yellow	pinglu //
90 white	saph~ed //
91 black	kalu //
92 night	rat //
95 full	bh~aryu*, puru //
96 new	nayu* //
97 good	aTTh~o, bh~alu //
98 round	gulgando //
99 dry	sukh~yu //
100 name	nau //
